kind,player,season,stat,note
prime,Harry Kane,23/24,36 goles en la Bundesliga · 8 asist.,Bota de Oro europea; récord de goles en una primera temporada en Alemania.
prime,Zlatan Ibrahimovic,15/16,50 goles en la temporada,"38 en la Ligue 1, máximo goleador, antes de marcharse del PSG."
prime,Cristiano Ronaldo,14/15,"61 goles, 22 asist.",48 goles en La Liga: Pichichi y Bota de Oro.
prime,Luis Suárez,14/15,"25 goles, 20+ asist. · triplete","Primera temporada de la MSN: Champions, Liga y Copa."
prime,Lionel Andrés Messi Cuccittini,11/12,"73 goles, 29 asist.","50 goles en La Liga y 91 en el año natural 2012, ambos récords."
prime,Karim Benzema,21/22,"44 goles, 15 asist.",Balón de Oro; arrastró al Real Madrid a la Champions.
prime,Gonzalo Higuaín,15/16,36 goles en la Serie A,Récord de goles en una sola temporada de la Serie A.
prime,Kylian Mbappe-Lottin,21/22,"39 goles, 26 asist.",Máximo goleador y máximo asistente de la Ligue 1.
prime,Wissam Ben Yedder,19/20,18 goles en la Ligue 1,Colíder de la tabla de goleadores con el Mónaco.
prime,Nils Petersen,16/17,,Su temporada cumbre medida (16/17) como killer en el Freiburg.
prime,Josip Ilicic,19/20,21 goles en la temporada,La cara mágica del Atalanta europeo; póker en Valencia en Champions.
prime,Mauro Icardi,17/18,29 goles en la Serie A,Capitán y Bota goleadora del Inter.
prime,Moussa Dembele,19/20,22 goles en la Ligue 1,Killer del Lyon antes de la pandemia.
prime,Falcao,17/18,24 goles en la temporada,"El Tigre, referencia goleadora del Mónaco."
prime,Tasos Douvikas,25/26,,Su temporada cumbre medida (25/26) como killer en el Como.
prime,Raphinha,24/25,~34 goles y 20+ asist.,Su año cumbre; líder ofensivo del Barça campeón de Liga.
prime,Alexis Sánchez,20/21,temporada de scudetto,Revulsivo del Inter que rompió el dominio de la Juventus.
prime,Chicharito,17/18,goleador del West Ham,Su mejor curso en la Premier con los Hammers.
prime,Memphis Depay,20/21,"20 goles, 12 asist.",Capitán y motor ofensivo del Lyon antes de fichar por el Barça.
prime,Ademola Lookman,24/25,15+ goles,Un año después de su triplete en la final de la Europa League 2024.
prime,Pierre-Emerick Aubameyang,15/16,39 goles,Máximo goleador del Dortmund y candidato al Pichichi alemán.
prime,Neymar,15/16,"31 goles, 27 asist.",Pieza de la MSN; oro olímpico con Brasil ese verano.
prime,Sepe Elye Wahi,23/24,,Su temporada cumbre medida (23/24) como killer en el Lens.
prime,Alexandre Lacazette,16/17,28 goles en la Ligue 1,Mejor temporada goleadora antes de dar el salto al Arsenal.
prime,Robert Lewandowski,18/19,22 goles en la Bundesliga,Pichichi alemán y doblete liga-copa con el Bayern.
prime,Son Heung-Min,21/22,23 goles en la Premier,"Bota de Oro de la Premier, compartida con Salah."
prime,Ruslan Malinovskiy,19/20,,Su temporada cumbre medida (19/20) como falso 9 en el Atalanta.
prime,Luis Muriel,21/22,,Su temporada cumbre medida (21/22) como delantero completo en el Atalanta.
prime,Sadio Mané,19/20,18 goles en la Premier,Campeón de la Premier con el Liverpool tras ganar la Champions.
prime,Loïc Remy,18/19,,Su temporada cumbre medida (18/19) como killer en el Lille.
prime,Lamine Yamal,25/26,regate y desequilibrio,"La joya del Barça, ya decisivo con la '10' a la espalda."
prime,Khvicha Kvaratskhelia,22/23,"12 goles, 12 asist. · scudetto",Revelación del Napoli campeón 33 años después.
prime,Georges Mikautadze,24/25,goleador del Lyon,Delantero-referencia georgiano en la Ligue 1.
prime,Arnaud Kalimuendo Muinga,24/25,,Su temporada cumbre medida (24/25) como killer en el Rennes.
prime,Cole Palmer,24/25,referente del Chelsea,"El cerebro ofensivo de los blues, del penalti al último pase."
prime,Bradley Barcola,22/23,,Su temporada cumbre medida (22/23) como extremo en el Lyon.
prime,Luis Díaz,24/25,13 goles en la Premier,Extremo desequilibrante del Liverpool campeón de Liga.
prime,Danny Ings,22/23,,Su temporada cumbre medida (22/23) como killer en el Aston Villa.
prime,Wilfred Ndidi,20/21,líder en recuperaciones,El mejor destructor de la Premier ese curso con el Leicester.
prime,Mohamed Salah,24/25,"29 goles, 18 asist. en la Premier",Bota de Oro y máximo asistente; título con el Liverpool.
prime,Joshua Kimmich,22/23,motor del Bayern campeón,"Pivote total: recuperación, distribución y pase largo."
